"","WM115","WM1205Lu","WM266-4","WM793"
"A0FGR8",530.01732564549,233.892695230608,214.10771450487,635.725395360252
"O00154",301.325,774.941666666666,277.084285714285,348.070454545454
"O00159",2761.0043475092,3156.49081141464,2779.03605908211,2523.56031084428
"O00161",300.910044885198,319.092996801455,156.90866354225,167.942314876548
"O00186",563.901586251754,323.496328780911,469.625151515152,255.676666666667
"O00231",321.629528490114,184.731562974048,188.383431752069,326.60299257425
"O00232",410.878333333334,338.855100039423,341.527611095622,526.353096654551
"O00299",1864.07117312139,1784.12070719728,1583.32255211771,1423.35602793512
"O00303",225.535,349.372777777778,170.075,236.27
"O00410",502.473971806238,506.060048586197,588.66821918138,415.911434352082
"O00487",403.788328338563,289.568843610158,318.632257661401,330.628495442255
"O00505",208.222060537301,158.132136683277,297.347584329885,211.396451020494
"O00560",623.86315660157,531.896156225646,882.048284555005,319.824698910556
"O00571",784.050414246885,490.401014610197,487.878095136025,598.954788803582
"O00629",195.563184688518,327.009617014078,184.030432228315,273.3265344201
"O00764",369.435,192.740544201254,349.787561050951,208.507738452269
"O14578",2049.11019983571,2807.79565634746,2599.81297358031,4607.03184604393
"O14579",307.165,269.023571428571,99.6689705901512,299.304234547996
"O14617",393.987045008762,234.133447103889,190.9975,287.700158581156
"O14672",101.629679910804,77.2197144480595,89.3462553872619,83.4275738799413
"O14744",330.292380999002,140.501139441037,278.531106092158,153.723333333333
"O14818",291.478016458331,279.137199864372,307.351715363632,417.687495178763
"O14828",236.39,94.545,133.695,185.075
"O14908",342.501125687455,602.060444326479,269.639523809523,225.9
"O14974",265.791313259351,76.395,224.204223231224,154.188333333334
"O14980",535.415,407.145,338.110411162352,378.588333333333
"O15067",211.78,67.5483333333333,285.562148724041,97.65
"O15143",489.685047129458,648.084056245294,492.029545454546,643.438320606774
"O15144",680.595714285715,702.236527376768,491.141604865736,553.066984160329
"O15145",198.111004064688,354.74232421159,233.738444240488,234.207052463177
"O15162",93.335,101.055,107.89,138.375
"O15260",229.966312421339,406.982415109202,144.482407387707,522.280840414738
"O15371",156.002931400839,372.620489968267,138.8707596382,289.937582177608
"O15427",186.359618631509,324.938294558834,274.961905498403,344.429510646657
"O15498",160.176113073177,108.186220916217,120.544858622034,246.57313383517
"O15554",339.703482433383,261.769273022165,170.58963477822,214.11780069787
"O43175",1087.75864334094,224.597539144585,1246.68443601213,253.731173248516
"O43242",278.125465812873,306.456403557701,231.418793259791,418.551531864539
"O43324",103.280309276711,151.911677644748,75.9,112.495
"O43390",376.769545454545,255.783181818182,132.977936970385,445.971111111111
"O43396",70.495,168.504285714286,77.9409558369372,90.595
"O43491",985.494810549946,1834.02099318871,733.485878978292,1152.09394038616
"O43681",175.18903709931,56.7954653690407,256.166262452703,121.87
"O43707",4773.94704756096,5881.70828319057,4998.26642775795,5335.19948483317
"O43776",914.131183589355,299.67813377829,593.178796005064,306.550491303011
