,WM115,WM266-4,WM793,WM1205Lu
A1BG,78,27,162,20
A1BG-AS1,431,150,2602,115
A1CF,2,6,4,2
A2M,18429,878,811,1008
A2M-AS1,38,0,58,37
A2ML1,0,0,7,1
A2ML1-AS1,0,5,1,0
A2ML1-AS2,8,3,3,0
A2MP1,0,0,0,0
A3GALT2,30,8,87,2
A4GALT,6,1,533,550
A4GNT,2,0,0,5
AAAS,2548,1530,3187,766
AACS,2099,951,15625,1093
AACSP1,2,10,133,0
AADAC,1,1,9,0
AADACL2,0,0,0,0
AADACL2-AS1,0,0,6,1
AADACL3,0,0,0,0
AADACL4,0,0,0,0
AADACP1,4,0,46,0
AADAT,788,372,1884,773
AAED1,1268,177,1871,523
AAGAB,3896,1363,16822,1267
AAK1,4847,1154,48761,3755
AAMDC,666,196,1251,216
AAMP,4051,1930,27050,2540
AANAT,12,0,7,8
AAR2,2345,1099,16861,1008
AARD,37,0,175,246
AARS,12331,4396,57260,3474
AARS2,3017,1400,5341,932
AARSD1,587,189,1913,141
AARSP1,0,0,0,0
AASDH,1075,378,4947,235
AASDHPPT,4648,2119,8470,1287
AASS,2426,926,2431,579
AATBC,18,33,8,3
AATF,4972,2212,17766,2330
AATK,78,258,1010,101
ABALON,52,31,142,45
ABAT,2107,81,623,81
ABCA1,96,903,7571,1761
ABCA10,352,165,230,8
ABCA11P,82,60,556,54
ABCA12,113,37,106,22
ABCA13,279,20,91,87
ABCA17P,77,0,616,55
ABCA2,3572,1280,7454,2672
ABCA3,26,15,2873,398
ABCA4,1,4,0,1
ABCA5,2009,2723,3323,203
ABCA6,1348,568,654,1
ABCA7,756,288,3344,239
ABCA8,661,446,41,4
ABCA9,2412,845,142,0
ABCA9-AS1,12,0,1,0
ABCB1,338,2,1688,18
ABCB10,1861,1051,2245,887
ABCB10P1,0,0,0,0
ABCB10P3,0,0,0,0
ABCB10P4,0,0,0,0
ABCB11,1,4,7,0
ABCB4,4529,1099,4455,15
ABCB5,29,774,129,6
ABCB6,609,248,1544,388
ABCB7,1161,656,3475,309
ABCB8,2764,1228,17458,1501
ABCB9,1450,395,11213,946
ABCC1,1172,561,17014,1285
ABCC10,1553,478,5114,602
ABCC11,4,18,35,3
ABCC12,0,0,0,1
ABCC13,0,0,0,0
ABCC2,1087,900,1876,31
ABCC3,446,17,30772,594
ABCC4,663,705,4330,1418
ABCC5,5589,2093,5312,1623
ABCC5-AS1,1,0,0,3
ABCC6,10,4,70,7
ABCC6P1,0,0,0,0
ABCC6P2,3,7,16,17
ABCC8,1,0,7,7
ABCC9,662,167,1352,0
ABCD1,1050,1127,8902,1052
ABCD1P2,0,0,0,0
ABCD1P3,0,0,0,0
ABCD1P4,0,0,0,0
ABCD1P5,0,0,0,0
ABCD2,9,0,2,0
ABCD3,2442,827,13364,1643
ABCD4,2411,849,6554,682
ABCE1,7747,3003,48996,3819
ABCF1,11171,1864,32592,3567
ABCF2,7333,2226,33646,3353
ABCF2P1,0,0,0,0
ABCF2P2,0,0,0,0
ABCF3,3578,895,8696,1546
ABCG1,353,1,93,13
ABCG2,326,118,373,91
ABCG4,16,0,216,8
ABCG5,2,15,0,2
ABCG8,2,0,3,0
ABHD1,41,10,89,15
ABHD10,2098,754,4086,800
ABHD11,1359,608,1740,856
ABHD11-AS1,16,1,6,7
ABHD12,3204,2079,7567,2144
ABHD12B,23,51,11,13
ABHD13,1875,1077,4934,602
ABHD14A,348,215,184,88
ABHD14A-ACY1,26,38,56,11
ABHD14B,1831,1329,6828,715
ABHD15,1141,540,1691,443
ABHD15-AS1,0,0,9,0
ABHD16A,531,68,646,85
ABHD16B,0,0,152,0
ABHD17A,3235,1220,14110,1681
ABHD17AP1,1,0,15,4
ABHD17AP3,4,0,1,4
ABHD17AP4,0,0,0,0
ABHD17AP5,0,0,4,0
ABHD17AP6,1,0,9,0
ABHD17AP9,0,0,0,0
ABHD17B,687,292,1795,433
ABHD17C,2426,1229,17821,975
ABHD18,802,308,1821,156
ABHD2,27369,14074,28449,11824
ABHD3,1511,524,2260,648
ABHD4,1667,289,13264,273
ABHD5,981,386,3110,267
