coord,type,strand,ID,Alias,Name,Derives_from,sRNA_115,sRNA_266_4,sRNA_793,sRNA_LU
chr9:94175957-94176036,miRNA_primary_transcript,+,MI0000060,MI0000060,hsa-let-7a-1,,110,52,39,87
chr11:122146522-122146593,miRNA_primary_transcript,-,MI0000061,MI0000061,hsa-let-7a-2,,98,39,45,149
chr22:46112749-46112822,miRNA_primary_transcript,+,MI0000062,MI0000062,hsa-let-7a-3,,368,411,54,179
chr22:46113686-46113768,miRNA_primary_transcript,+,MI0000063,MI0000063,hsa-let-7b,,31890,28036,6877,23529
chr21:16539828-16539911,miRNA_primary_transcript,+,MI0000064,MI0000064,hsa-let-7c,,898,1945,96,107
chr9:94178834-94178920,miRNA_primary_transcript,+,MI0000065,MI0000065,hsa-let-7d,,5374,2547,1445,4159
chr19:51692786-51692864,miRNA_primary_transcript,+,MI0000066,MI0000066,hsa-let-7e,,4009,1723,1261,2380
chr9:94176347-94176433,miRNA_primary_transcript,+,MI0000067,MI0000067,hsa-let-7f-1,,419,220,265,528
chrX:53557192-53557274,miRNA_primary_transcript,-,MI0000068,MI0000068,hsa-let-7f-2,,1930,1277,520,1991
chr13:50049119-50049201,miRNA_primary_transcript,-,MI0000069,MI0000069,hsa-mir-15a,,30,18,62,77
chr13:50048973-50049061,miRNA_primary_transcript,-,MI0000070,MI0000070,hsa-mir-16-1,,8,6,4,10
chr13:91350605-91350688,miRNA_primary_transcript,+,MI0000071,MI0000071,hsa-mir-17,,659,275,286,613
chr13:91350751-91350821,miRNA_primary_transcript,+,MI0000072,MI0000072,hsa-mir-18a,,85,43,54,83
chr13:91350891-91350972,miRNA_primary_transcript,+,MI0000073,MI0000073,hsa-mir-19a,,132,76,150,273
chr13:91351192-91351278,miRNA_primary_transcript,+,MI0000074,MI0000074,hsa-mir-19b-1,,2,3,0,0
chrX:134169671-134169766,miRNA_primary_transcript,-,MI0000075,MI0000075,hsa-mir-19b-2,,0,4,1,1
chr13:91351065-91351135,miRNA_primary_transcript,+,MI0000076,MI0000076,hsa-mir-20a,,1050,348,650,1775
chr17:59841266-59841337,miRNA_primary_transcript,+,MI0000077,MI0000077,hsa-mir-21,,3677068,791337,880672,4056162
chr17:1713903-1713987,miRNA_primary_transcript,-,MI0000078,MI0000078,hsa-mir-22,,18859,7284,19858,54700
chr19:13836587-13836659,miRNA_primary_transcript,-,MI0000079,MI0000079,hsa-mir-23a,,19930,1870,6002,7195
chr9:95086021-95086088,miRNA_primary_transcript,+,MI0000080,MI0000080,hsa-mir-24-1,,65,49,54,78
chr19:13836287-13836359,miRNA_primary_transcript,-,MI0000081,MI0000081,hsa-mir-24-2,,148,44,75,116
chr7:100093560-100093643,miRNA_primary_transcript,-,MI0000082,MI0000082,hsa-mir-25,,4423,1133,1714,1615
chr3:37969404-37969480,miRNA_primary_transcript,+,MI0000083,MI0000083,hsa-mir-26a-1,,9,0,3,9
chr2:218402646-218402722,miRNA_primary_transcript,+,MI0000084,MI0000084,hsa-mir-26b,,1665,625,1356,1459
chr19:13836440-13836517,miRNA_primary_transcript,-,MI0000085,MI0000085,hsa-mir-27a,,75425,15586,84929,125204
chr3:188688781-188688866,miRNA_primary_transcript,+,MI0000086,MI0000086,hsa-mir-28,,7063,1456,2342,4436
chr7:130876747-130876810,miRNA_primary_transcript,-,MI0000087,MI0000087,hsa-mir-29a,,3409,475,2002,6319
chr6:71403551-71403621,miRNA_primary_transcript,-,MI0000088,MI0000088,hsa-mir-30a,,98609,19260,30665,25091
chr9:21512115-21512185,miRNA_primary_transcript,-,MI0000089,MI0000089,hsa-mir-31,,32,2,145,982
chr9:109046229-109046298,miRNA_primary_transcript,-,MI0000090,MI0000090,hsa-mir-32,,51,17,28,61
chr22:41900944-41901012,miRNA_primary_transcript,+,MI0000091,MI0000091,hsa-mir-33a,,32,4,11,19
chr13:91351314-91351391,miRNA_primary_transcript,+,MI0000093,MI0000093,hsa-mir-92a-1,,584,447,200,285
chrX:134169538-134169612,miRNA_primary_transcript,-,MI0000094,MI0000094,hsa-mir-92a-2,,88,85,72,31
chr7:100093768-100093847,miRNA_primary_transcript,-,MI0000095,MI0000095,hsa-mir-93,,6790,1841,1860,2671
chr4:8005301-8005381,miRNA_primary_transcript,-,MI0000097,MI0000097,hsa-mir-95,,53,16,11,108
chr7:129774692-129774769,miRNA_primary_transcript,-,MI0000098,MI0000098,hsa-mir-96,,12,8,17,12
chrX:53556223-53556341,miRNA_primary_transcript,-,MI0000100,MI0000100,hsa-mir-98,,559,362,198,978
chr21:16539089-16539169,miRNA_primary_transcript,+,MI0000101,MI0000101,hsa-mir-99a,,4036,4975,315,137
chr11:122152229-122152308,miRNA_primary_transcript,-,MI0000102,MI0000102,hsa-mir-100,,444972,103023,252638,851817
chr1:65058434-65058508,miRNA_primary_transcript,-,MI0000103,MI0000103,hsa-mir-101-1,,4,5,10,6
chr7:130877459-130877539,miRNA_primary_transcript,-,MI0000105,MI0000105,hsa-mir-29b-1,,1,1,3,5
chr1:207802443-207802523,miRNA_primary_transcript,-,MI0000107,MI0000107,hsa-mir-29b-2,,4,0,3,4
chr20:3917494-3917571,miRNA_primary_transcript,+,MI0000108,MI0000108,hsa-mir-103a-2,,52,21,3,35
chr5:168560896-168560973,miRNA_primary_transcript,-,MI0000109,MI0000109,hsa-mir-103a-1,,3,0,2,2
chrX:152392219-152392299,miRNA_primary_transcript,-,MI0000111,MI0000111,hsa-mir-105-1,,0,0,0,0
chrX:152394412-152394492,miRNA_primary_transcript,-,MI0000112,MI0000112,hsa-mir-105-2,,3,6,1,0
chrX:134170198-134170278,miRNA_primary_transcript,-,MI0000113,MI0000113,hsa-mir-106a,,52,2,5,44
chr10:89592747-89592827,miRNA_primary_transcript,-,MI0000114,MI0000114,hsa-mir-107,,134,57,51,60
chr3:160404745-160404825,miRNA_primary_transcript,+,MI0000115,MI0000115,hsa-mir-16-2,,2288,1065,1047,2093
chr11:64891137-64891246,miRNA_primary_transcript,-,MI0000234,MI0000234,hsa-mir-192,,3217,1532,1460,1138
